area_type,availability,size,society,location,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,2 BHK,,Kalyani Nagar,1070,2,1,45.5
Super built-up  Area,Ready To Move,3 BHK,Dieldli,Karve Nagar,1724,3,2,125
Super built-up  Area,Ready To Move,3 BHK,,Karve Road,1290,2,2,56.12
Built-up  Area,Ready To Move,2 BHK,,Kasba Peth,1143,2,2,45
Built-up  Area,Ready To Move,2 BHK,Gentson,Katraj,1296,2,,81
Super built-up  Area,19-Dec,3 BHK,Soini T,Khadaki,1254,3,2,38
Super built-up  Area,Ready To Move,1 BHK,Ceove G,Khadki,600,1,0,38
Plot  Area,Ready To Move,1 Bedroom,,Kharadi,660,1,0,48
Super built-up  Area,19-Sep,2 BHK,Soazak ,Kondhwa,1330.74,2,2,91.79
Plot  Area,Ready To Move,8 Bedroom,,Kondhwa Budruk,600,9,,200
Super built-up  Area,Ready To Move,2 BHK,LancyRe,Kondhwa Khurd,970,2,0,33
Super built-up  Area,20-Sep,2 BHK,Goted U,Koregaon Park,1459,2,1,94.82
Plot  Area,Ready To Move,2 Bedroom,,Kothrud,800,1,1,130
Built-up  Area,Ready To Move,2 BHK,,Law College Road,869,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Bhncyis,Laxmi Road,1270,2,1,50
Super built-up  Area,18-Mar,3 BHK,Rosha I,Lulla Nagar,1670,3,1,99
Built-up  Area,Ready To Move,3 BHK,Suent V,Mahatma Gandhi Road,2010,3,2,91
Super built-up  Area,Ready To Move,2 BHK,RothaVa,Mangalwar peth,1185,2,2,75
Super built-up  Area,Ready To Move,3 BHK,NCowsar,Manik Bagh,1600,2,3,75
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,Market yard,1200,2,2,44
Built-up  Area,20-Feb,4 Bedroom,BrereAt,Model colony,3010 - 3410,,,192
Super built-up  Area,Ready To Move,2 BHK,PeBayle,Mukund Nagar,1500,2,2,185
Plot  Area,Ready To Move,6 Bedroom,,Mundhawa,1407,4,1,150
Super built-up  Area,Ready To Move,2 BHK,,Nagar Road,840,2,2,45
Plot  Area,Ready To Move,3 Bedroom,,Nana Peth,4395,3,2,240
Super built-up  Area,Ready To Move,2 BHK,Laavevi,Narayan Peth,845,2,1,55
Plot  Area,Ready To Move,4 Bedroom,Chranya,Narayangaon,5700,5,3,650
Built-up  Area,Ready To Move,2 BHK,HioraTr,Navi Peth,1160,2,2,44
Built-up  Area,Ready To Move,8 Bedroom,,Padmavati,3000,8,0,140
Super built-up  Area,Ready To Move,2 BHK,,Parvati Darshan,1100,2,1,62
Super built-up  Area,18-Apr,2 BHK,BMineis,Pashan,1140,2,3,43
Super built-up  Area,Ready To Move,2 BHK,,Paud Road,1220,2,1,57
Plot  Area,Ready To Move,8 Bedroom,,Pirangut,1350,7,0,85
Super built-up  Area,Ready To Move,2 BHK,,Prabhat Road,1005,2,1,36.68
Plot  Area,Ready To Move,3 Bedroom,,Pune Railway Station,500,3,2,100
Super built-up  Area,20-Aug,2 BHK,Pruthg ,Rasta Peth,1358,2,1,80.58
Super built-up  Area,Ready To Move,3 BHK,Sonosty,Raviwar Peth,1569,3,1,101
Super built-up  Area,18-Apr,2 BHK,SNnia E,Sadashiv Peth,1240,2,1,70
Super built-up  Area,Ready To Move,3 BHK,Anavi B,Sahakar Nagar,2089,3,2,140
Super built-up  Area,Ready To Move,2 BHK,,Salunke Vihar,1206,2,1,48.23
Super built-up  Area,Ready To Move,2 BHK,,Sasson Road,1150,2,3,40
Built-up  Area,Ready To Move,3 BHK,Viony H,Satara Road,2511,3,3,205
Built-up  Area,Ready To Move,2 BHK,,Senapati Bapat Road,460,1,0,22
Built-up  Area,Ready To Move,6 Bedroom,,Shaniwar Peth,4400,6,3,250
Super built-up  Area,Ready To Move,3 BHK,AdentEl,Shivaji Nagar,1660,2,2,105
Built-up  Area,18-Oct,4 Bedroom,Gollela,Shukrawar Peth,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,2 BHK,Niareum,Sinhagad Road,1326,2,2,78
Super built-up  Area,Ready To Move,3 BHK,,Somwar Peth,1325,2,2,60.8
Super built-up  Area,Ready To Move,3 BHK,SJlynro,Swargate,1499,5,2,102
Built-up  Area,Ready To Move,6 Bedroom,,Tilak Road,3000,7,2,210
Super built-up  Area,Ready To Move,3 BHK,,Uruli Devachi,1665,3,2,88
Super built-up  Area,17-Sep,2 BHK,Tavenew,Vadgaon Budruk,708,2,2,37
Super built-up  Area,Ready To Move,2 BHK,Srire S,Wadgaon Sheri,1060,2,2,58.06
Plot  Area,Ready To Move,6 Bedroom,,Viman Nagar,710,6,3,160
Built-up  Area,Ready To Move,2 BHK,Saenti ,Vishrant Wadi,1000,2,2,70
Super built-up  Area,18-Dec,2 BHK,,Wagholi,1000,2,1,28.88
Super built-up  Area,Ready To Move,3 BHK,,Wakadewadi,1450,2,2,70
Plot  Area,Ready To Move,4 Bedroom,,Wanowrie,1200,4,2,155
Super built-up  Area,17-Aug,2 BHK,Bhmesy ,Warje,1296,2,3,80
Super built-up  Area,Ready To Move,3 BHK,,Yerawada,1540,3,2,90
Plot  Area,Ready To Move,4 Bedroom,Goardth,Alandi Road,2894,4,1,245
Super built-up  Area,Ready To Move,3 BHK,,Ambegaon Budruk,1330,2,1,48
Built-up  Area,Ready To Move,2 BHK,,Anandnagar,1200,2,1,65
Built-up  Area,Ready To Move,3 Bedroom,,Aundh,1200,3,1,90
Super built-up  Area,Ready To Move,3 BHK,IBityin,Aundh Road,2502,3,3,138
Built-up  Area,Ready To Move,2 BHK,KHityry,Balaji Nagar,650,1,1,17
Plot  Area,Ready To Move,3 Bedroom,BDensar,Baner,2400,2,1,150
Super built-up  Area,Ready To Move,2 BHK,Makeser,Baner road,1007,2,2,43
Super built-up  Area,Ready To Move,2 BHK,Maest N,Bhandarkar Road,1200,2,2,50
Super built-up  Area,Ready To Move,2 BHK,,Bhavani Peth,966,2,2,49.9
Built-up  Area,Ready To Move,3 BHK,,Bibvewadi,1630,2,1,98
Built-up  Area,Ready To Move,3 BHK,Brway G,Bopodi,1640,3,2,229
Built-up  Area,Ready To Move,2 BHK,,Budhwar Peth,782,2,2,55.68
Super built-up  Area,19-Apr,2 BHK,Oznuean,Bund Garden Road,1260,2,2,66.78
Super built-up  Area,Ready To Move,3 BHK,,Camp,1800,3,3,120
Super built-up  Area,Ready To Move,3 BHK,Reeroce,Chandan Nagar,1413,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Sonviik,Dapodi,1116,2,1,51.91
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,Deccan Gymkhana,1530,2,1,45.9
Built-up  Area,Ready To Move,4 Bedroom,,Dehu Road,3700,4,1,225
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,Dhankawadi,2497,3,2,140
Super built-up  Area,Ready To Move,3 BHK,Vaens G,Dhayari Phata,1540,2,3,64
Super built-up  Area,18-Dec,3 BHK,,Dhole Patil Road,1436,3,1,74.75
Super built-up  Area,18-Jun,2 BHK,,Erandwane,1100,2,2,75
Plot  Area,Ready To Move,2 Bedroom,,Fatima Nagar,276,3,3,23
Super built-up  Area,Ready To Move,3 BHK,Moity S,Fergusson College Road,1427,3,2,120
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,Ganesh Peth,2061,3,1,200
Super built-up  Area,18-Mar,4 BHK,SNontle,Ganeshkhind,3067 - 8156,4,0,477
Built-up  Area,Ready To Move,4 BHK,,Ghorpade Peth,2650,4,2,150
Super built-up  Area,22-Dec,3 BHK,Sabixtt,Ghorpadi,1282,2,2,68.52
Built-up  Area,Ready To Move,2 BHK,,Gokhale Nagar,1050,2,1,34
Built-up  Area,Ready To Move,3 BHK,Sragei ,Gultekdi,1600,3,2,65
Super built-up  Area,22-Jan,2 BHK,,Guruwar peth,945,2,1,54
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,Hadapsar,1500,2,1,78
Plot  Area,Ready To Move,7 Bedroom,,Hadapsar Industrial Estate,950,7,0,115
Built-up  Area,Ready To Move,3 BHK,Jahts H,Hingne Khurd,1870,3,3,110
Plot  Area,Ready To Move,3 Bedroom,Inensba,Jangali Maharaj Road,1600,3,1,75
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,Kalyani Nagar,880,1,1,16.5
Plot  Area,Ready To Move,4 Bedroom,,Karve Nagar,1200,4,0,210
Super built-up  Area,Ready To Move,3 BHK,Srier P,Karve Road,1535,3,2,83
Built-up  Area,Ready To Move,2 BHK,Wiowsri,Kasba Peth,950,2,1,57
Super built-up  Area,18-Aug,2 BHK,Derdsig,Katraj,1360,2,1,65
Super built-up  Area,19-Mar,2 BHK,Vaarech,Khadaki,1042 - 1105,2,0,54.005
Super built-up  Area,18-May,3 BHK,,Khadki,1280,3,1,50.4
Super built-up  Area,19-Jan,3 BHK,TiaksAa,Kharadi,1260,2,2,85.05
Built-up  Area,Ready To Move,8 Bedroom,,Kondhwa,5000,8,,250
Super built-up  Area,19-Dec,5 BHK,LedorSa,Kondhwa Budruk,3050,5,1,213
Super built-up  Area,Ready To Move,3 BHK,HMwerCo,Kondhwa Khurd,1563.05,3,1,105
Super built-up  Area,Ready To Move,2 BHK,,Koregaon Park,1000,2,1,60
Super built-up  Area,17-Jul,2 BHK,ViensRK,Kothrud,1167,2,1,43.76
Super built-up  Area,Ready To Move,7 BHK,,Law College Road,4000,7,2,225
Super built-up  Area,Ready To Move,3 BHK,Somumys,Laxmi Road,1828,3,,110
Super built-up  Area,Ready To Move,2 BHK,HoiewLa,Lulla Nagar,890,2,1,35
Super built-up  Area,Ready To Move,3 BHK,Dwity T,Mahatma Gandhi Road,1612,3,3,46.74
Plot  Area,Ready To Move,6 Bedroom,,Mangalwar peth,1034,5,,185
Super built-up  Area,19-Apr,3 BHK,Brama P,Manik Bagh,1710,4,2,91.31
Super built-up  Area,Ready To Move,2 BHK,VBownre,Market yard,957,2,1,58
Super built-up  Area,18-May,3 BHK,,Model colony,1250,2,3,44
Super built-up  Area,Ready To Move,3 BHK,Betatsi,Mukund Nagar,2795,4,,235
Super built-up  Area,Ready To Move,2 BHK,Prcan P,Mundhawa,1125,2,2,50
Super built-up  Area,18-Jul,2 BHK,Sryalan,Nagar Road,1020,2,1,30.6
Super built-up  Area,Ready To Move,2 BHK,,Nana Peth,1200,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Soitya ,Narayan Peth,1735,3,3,135
Super built-up  Area,Ready To Move,3 BHK,G conTh,Narayangaon,2050,3,1,145
Plot  Area,Ready To Move,4 Bedroom,,Navi Peth,3750,4,0,760
Built-up  Area,Ready To Move,3 BHK,,Padmavati,1350,2,3,48
Super built-up  Area,18-May,2 BHK,SStusan,Parvati Darshan,1063,2,1,32
Super built-up  Area,Ready To Move,3 BHK,ETens G,Pashan,1904,3,1,150
Built-up  Area,Ready To Move,4 Bedroom,,Paud Road,4200,4,2,420
Super built-up  Area,Ready To Move,3 BHK,Hohnari,Pirangut,2000,3,1,175
Super built-up  Area,18-Dec,2 BHK,Kinuerg,Prabhat Road,1145 - 1340,2,0,43.49
Super built-up  Area,Ready To Move,3 BHK,Naods W,Pune Railway Station,1425,2,2,75
Super built-up  Area,Ready To Move,3 BHK,GMown E,Rasta Peth,1500,2,1,64.5
Built-up  Area,Ready To Move,2 BHK,GMown E,Raviwar Peth,1060,2,1,60
Built-up  Area,Ready To Move,3 BHK,Sancyra,Sadashiv Peth,1470,2,2,70
Super built-up  Area,Ready To Move,6 BHK,,Sahakar Nagar,1300,6,0,99
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,Salunke Vihar,450,1,1,11
Super built-up  Area,18-Apr,2 BHK,Prarkun,Sasson Road,1152,2,1,64.5
Super built-up  Area,Ready To Move,3 BHK,GMown E,Satara Road,1350,2,1,56
Super built-up  Area,Ready To Move,3 BHK,Srshq T,Senapati Bapat Road,1550,3,3,65
Plot  Area,Ready To Move,3 Bedroom,,Shaniwar Peth,1500,3,2,100
Plot  Area,Ready To Move,5 Bedroom,,Shivaji Nagar,600,3,2,85
Plot  Area,Ready To Move,1 Bedroom,,Shukrawar Peth,400,1,0,14
Super built-up  Area,Ready To Move,1 BHK,Utntspa,Sinhagad Road,705,1,2,67
Built-up  Area,Ready To Move,2 BHK,GMown E,Somwar Peth,770,1,1,36
Super built-up  Area,Ready To Move,2 BHK,Aniona ,Swargate,1242,2,3,51
Super built-up  Area,Ready To Move,3 BHK,Goateds,Tilak Road,1700,3,2,155
Super built-up  Area,Ready To Move,3 BHK,Soitya ,Uruli Devachi,2144,3,2,145
Super built-up  Area,21-Jun,3 BHK,Saahaat,Vadgaon Budruk,1704,3,2,110
Super built-up  Area,Ready To Move,2 BHK,GMown E,Wadgaon Sheri,1070,2,1,52
Plot  Area,Ready To Move,3 Bedroom,,Viman Nagar,1846,3,2,300
Super built-up  Area,Ready To Move,2 BHK,,Vishrant Wadi,1340,2,2,55.7
Built-up  Area,Ready To Move,2 BHK,GMown E,Wagholi,1025,2,1,46
Super built-up  Area,Ready To Move,2 BHK,MCvarar,Wakadewadi,1015 - 1540,2,0,56.8
Super built-up  Area,Ready To Move,2 BHK,VRave E,Wanowrie,1200,2,2,52
Built-up  Area,18-Dec,4 Bedroom,,Warje,2250,4,1,110
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,Yerawada,1550,2,3,80
Plot  Area,Ready To Move,4 Bedroom,,Alandi Road,1200,5,,325
Plot  Area,Ready To Move,7 Bedroom,,Ambegaon Budruk,1800,7,1,250
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,Anandnagar,1200,2,2,60
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,Aundh,1327,2,2,98
Super built-up  Area,Ready To Move,2 BHK,,Aundh Road,1186,2,2,58
Built-up  Area,Ready To Move,3 Bedroom,,Balaji Nagar,1783,3,1,115
Super built-up  Area,Ready To Move,3 BHK,NRosete,Baner,1400,3,2,56
Super built-up  Area,Ready To Move,2 BHK,,Baner road,980,2,1,48
Super built-up  Area,Ready To Move,2 BHK,,Bhandarkar Road,1285,2,2,82
Super built-up  Area,Ready To Move,3 BHK,,Bhavani Peth,912,2,1,70
Built-up  Area,Ready To Move,2 BHK,Sancya ,Bibvewadi,1225,2,2,47.6
Super built-up  Area,Ready To Move,2 BHK,,Bopodi,1075,2,1,53
Built-up  Area,Ready To Move,3 BHK,MSingco,Budhwar Peth,1260,2,2,54
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,Bund Garden Road,1282,2,2,48.7
Super built-up  Area,Ready To Move,3 BHK,CaIRSCr,Camp,1909,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,Chandan Nagar,1359,2,1,87
Built-up  Area,Ready To Move,2 BHK,,Dapodi,1207,2,2,43.5
Plot  Area,Ready To Move,4 Bedroom,,Deccan Gymkhana,1736,6,0,190
Super built-up  Area,20-May,4 BHK,,Dehu Road,2850,4,1,428
Super built-up  Area,Ready To Move,3 BHK,Emstael,Dhankawadi,1595,3,2,65
Built-up  Area,18-Jun,3 BHK,,Dhayari Phata,1798,3,2,89
Super built-up  Area,Ready To Move,3 BHK,SNdri N,Dhole Patil Road,1475,3,2,78.29
Super built-up  Area,Ready To Move,3 BHK,HodhiSa,Erandwane,1580,3,3,100
Super built-up  Area,Ready To Move,2 BHK,Syonyph,Fatima Nagar,1295,2,1,65
Built-up  Area,Ready To Move,6 Bedroom,,Fergusson College Road,3600,6,0,141
Super built-up  Area,Ready To Move,1 BHK,Itvir M,Ganesh Peth,589,1,1,27
Super built-up  Area,Ready To Move,3 BHK,,Ganeshkhind,1415,3,3,78
Super built-up  Area,18-Dec,3 BHK,Klark L,Ghorpade Peth,1787,3,2,98.29
Super built-up  Area,Ready To Move,3 BHK,Klark L,Ghorpadi,1787,3,2,125
Super built-up  Area,Ready To Move,3 BHK,Piityra,Gokhale Nagar,1475,2,3,90
Built-up  Area,Ready To Move,4 BHK,,Gultekdi,2000,4,1,75.5
Super built-up  Area,19-Mar,2 BHK,AsastDe,Guruwar peth,984,2,1,44.28
Super built-up  Area,19-Dec,3 BHK,Jurdsig,Hadapsar,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,3 BHK,MacleK ,Hadapsar Industrial Estate,2405,4,2,260
Built-up  Area,Ready To Move,2 BHK,Brnia G,Hingne Khurd,1080,2,2,72
Plot  Area,Ready To Move,2 Bedroom,,Jangali Maharaj Road,1500,2,1,115
Super built-up  Area,Ready To Move,3 BHK,,Kalyani Nagar,1900,3,2,119
Super built-up  Area,19-Aug,2 BHK,,Karve Nagar,805,2,1,22.14
Super built-up  Area,Ready To Move,2 BHK,PrityTr,Karve Road,1153,2,2,56.4
Super built-up  Area,Ready To Move,2 BHK,AlEcone,Kasba Peth,1148,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Laowsba,Katraj,1110,2,2,55
Built-up  Area,Ready To Move,2 BHK,Saave R,Khadaki,1100,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Anave S,Khadki,1290,2,2,110
Super built-up  Area,Ready To Move,3 BHK,,Kharadi,1500,2,1,65
Super built-up  Area,18-Apr,2 BHK,,Kondhwa,1080,2,2,39
Super built-up  Area,21-Jun,3 BHK,Saityat,Kondhwa Budruk,1933,3,1,129
Built-up  Area,Ready To Move,5 Bedroom,,Kondhwa Khurd,3500,5,2,150
Built-up  Area,Ready To Move,2 BHK,,Koregaon Park,1060,2,2,60
Super built-up  Area,18-Aug,1 BHK,SunceEs,Kothrud,645,1,1,16.45
Plot  Area,Ready To Move,8 Bedroom,,Law College Road,2600,8,2,180
Super built-up  Area,18-Sep,1 BHK,SunceEs,Laxmi Road,645,1,1,16.45
Super built-up  Area,Ready To Move,3 BHK,SJcerpe,Lulla Nagar,1644,3,3,84
Super built-up  Area,Ready To Move,2 BHK,Supams ,Mahatma Gandhi Road,1285,2,3,72.5
Plot  Area,Ready To Move,3 Bedroom,,Mangalwar peth,1200,3,1,90
Super built-up  Area,Ready To Move,2 BHK,CoapeSo,Manik Bagh,910,2,1,40
Super built-up  Area,Ready To Move,3 BHK,Bisic C,Market yard,1577,3,1,70
Plot  Area,17-May,3 Bedroom,Sreat R,Model colony,4050,3,2,280
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,Mukund Nagar,2420,3,2,185
Super built-up  Area,Ready To Move,2 BHK,KHityry,Mundhawa,800,1,1,20
Built-up  Area,Ready To Move,2 BHK,,Nagar Road,1060,2,2,55
Super built-up  Area,Ready To Move,2 BHK,BriumMi,Nana Peth,1270,2,2,93
Super built-up  Area,18-Jun,2 BHK,,Narayan Peth,900,2,2,22.5
Built-up  Area,Ready To Move,2 Bedroom,,Narayangaon,1280,2,1,69
Plot  Area,Ready To Move,4 Bedroom,,Navi Peth,1200,2,0,95
Built-up  Area,Ready To Move,2 BHK,,Padmavati,1025,2,2,36
Super built-up  Area,17-Jun,2 BHK,Prarkun,Parvati Darshan,1108,2,1,63
Plot  Area,Ready To Move,5 Bedroom,,Pashan,1200,5,,170
Super built-up  Area,Ready To Move,3 BHK,Calyxy ,Paud Road,3045,3,2,170
Plot  Area,Ready To Move,4 Bedroom,Thessrm,Pirangut,2900,3,2,300
Super built-up  Area,Ready To Move,3 BHK,JJortom,Prabhat Road,1500,3,2,75.5
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,Pune Railway Station,1295,2,2,43.9
Super built-up  Area,Ready To Move,2 BHK,PrityTr,Rasta Peth,1162,2,1,59.9
Super built-up  Area,Ready To Move,2 BHK,Usquaya,Raviwar Peth,1035,2,2,49.2
Built-up  Area,Ready To Move,4 Bedroom,Natic T,Sadashiv Peth,1600,4,0,52.8
Super built-up  Area,Ready To Move,3 BHK,,Sahakar Nagar,1464,3,2,46
Super built-up  Area,18-Oct,3 BHK,DSapeSk,Salunke Vihar,1866,2,2,61.58
Super built-up  Area,Ready To Move,2 BHK,Jahtsa ,Sasson Road,700,1,1,26
Super built-up  Area,Ready To Move,3 BHK,Prillot,Satara Road,1804,3,2,120
Super built-up  Area,Ready To Move,2 BHK,,Senapati Bapat Road,913,2,1,32
Super built-up  Area,21-Dec,3 BHK,Sodgere,Shaniwar Peth,1868,3,2,131
Built-up  Area,Ready To Move,2 BHK,,Shivaji Nagar,883,2,1,45
Plot  Area,Ready To Move,2 Bedroom,,Shukrawar Peth,900,2,1,110
Super built-up  Area,Ready To Move,3 BHK,,Sinhagad Road,1664,2,3,73.95
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,Somwar Peth,2026,3,2,132
Super built-up  Area,Ready To Move,2 BHK,Soestin,Swargate,1210,2,1,80.9
Plot  Area,Ready To Move,4 Bedroom,Sreat R,Tilak Road,4111,4,2,250
Super built-up  Area,Ready To Move,3 BHK,Alestrb,Uruli Devachi,1762,3,3,91.45
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,Vadgaon Budruk,1252,3,3,55
Built-up  Area,Ready To Move,2 BHK,Mauner ,Wadgaon Sheri,861,2,1,34.5
Built-up  Area,Ready To Move,3 BHK,Brnia G,Viman Nagar,1420,2,1,100
Plot  Area,Ready To Move,6 Bedroom,,Vishrant Wadi,1450,6,0,250
Built-up  Area,Ready To Move,3 BHK,GaicaVe,Wagholi,1490,3,1,78.8
Super built-up  Area,Ready To Move,3 BHK,,Wakadewadi,1075,2,1,46
Super built-up  Area,18-Aug,3 BHK,Saesttt,Wanowrie,1425,2,2,94
Built-up  Area,Ready To Move,2 BHK,Nae 2El,Warje,1200,2,1,40
Super built-up  Area,Ready To Move,3 BHK,,Yerawada,1280,2,2,56
Super built-up  Area,Ready To Move,2 BHK,Bhinglv,Alandi Road,1084,2,2,50
Super built-up  Area,18-Jul,2 BHK,SunceEs,Ambegaon Budruk,1015,2,2,25.88
Super built-up  Area,21-May,2 BHK,GolusLi,Anandnagar,1017,2,1,51.25
Super built-up  Area,Ready To Move,2 BHK,,Aundh,1027,2,2,44
Super built-up  Area,Ready To Move,2 BHK,Coush W,Aundh Road,1069,2,2,45
Super built-up  Area,Ready To Move,2 BHK,Prersis,Balaji Nagar,1349,2,1,98.2
Super built-up  Area,Ready To Move,2 BHK,NaensGa,Baner,1005,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Arzzo P,Baner road,1417,2,3,75
Plot  Area,18-Jan,3 Bedroom,,Bhandarkar Road,1475,3,1,98
Carpet  Area,Ready To Move,2 BHK,SMikaay,Bhavani Peth,950,2,2,47
Super built-up  Area,Ready To Move,4 BHK,Prave E,Bibvewadi,2000,4,0,120
Plot  Area,Ready To Move,3 Bedroom,,Bopodi,880,3,1,140
Super built-up  Area,Ready To Move,4 BHK,Ahriaup,Budhwar Peth,1863,3,2,104
Super built-up  Area,Ready To Move,2 BHK,Priewhi,Bund Garden Road,1010,2,1,29.5
Super built-up  Area,Ready To Move,3 BHK,Shodsth,Camp,1425,2,1,70
Super built-up  Area,Ready To Move,3 BHK,Swadeh ,Chandan Nagar,1450,3,0,100
Super built-up  Area,Ready To Move,3 BHK,Somumys,Dapodi,1847,3,2,105
Super built-up  Area,Ready To Move,2 BHK,Soran U,Deccan Gymkhana,1100,2,3,45
Super built-up  Area,20-Dec,1 BHK,PrarePa,Dehu Road,525,1,1,26
Super built-up  Area,Ready To Move,3 BHK,Puestig,Dhankawadi,1665,3,2,95
Super built-up  Area,Ready To Move,4 BHK,Prntsrt,Dhayari Phata,1664,4,3,65
Super built-up  Area,Ready To Move,3 BHK,Maerar ,Dhole Patil Road,1850,3,3,150
Super built-up  Area,Ready To Move,2 BHK,Vaesh T,Erandwane,1438,2,3,100
Super built-up  Area,Ready To Move,3 BHK,MaisePa,Fatima Nagar,1560,3,3,115
Super built-up  Area,18-Apr,2 BHK,,Fergusson College Road,1350,2,1,55.55
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,Ganesh Peth,1550,3,3,67
Super built-up  Area,18-Apr,2 BHK,,Ganeshkhind,1140,2,2,46.5
Plot  Area,Ready To Move,5 Bedroom,,Ghorpade Peth,1200,5,2,180
Super built-up  Area,18-Dec,2 BHK,,Ghorpadi,850,2,2,27
Super built-up  Area,Ready To Move,2 BHK,Gotis A,Gokhale Nagar,1280,2,2,75
Built-up  Area,Ready To Move,2 BHK,,Gultekdi,1170,2,2,52
Super built-up  Area,Ready To Move,2 BHK,Puodse ,Guruwar peth,1113,2,1,51
Super built-up  Area,Ready To Move,2 BHK,Mileeou,Hadapsar,1385,2,1,83.09
Super built-up  Area,18-Apr,2 BHK,Prarkun,Hadapsar Industrial Estate,1128,2,1,65
Plot  Area,Ready To Move,2 Bedroom,,Hingne Khurd,1200,2,2,128
